ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,,,,
Floor,60,0.1,60,0,0,0,0.06,0,0,WallSponge_Tx,,,
Floor,40,0.1,20,90,90,0,-29.5,10,0,WallCake_Tx,,,
Floor,40,0.1,20,90,180,0,-0.2,10,30,WallCake_Tx,,,
Floor,40,0.1,20,90,270,0,30,10,-0.3,WallCake_Tx,,,
Floor,40,0.1,20,90,0,0,-0.2,10,-30,WallCake_Tx,,,
Wall,0.5,10,17,0,90,0,2.3211,4.7,-15.622,WallCake_Tx,,,
Wall,0.5,10,22.5,0,0,0,17.78,4.7,0.426,WallCake_Tx,,,
Wall,0.5,10,20,0,90,0,0.44,4.61,19.1,WallCake_Tx,,,
Wall,0.5,10,6,0,6.427439,0,-15.86,4.6,10.26,WallCake_Tx,,,
Partition,0.5,10,8,0,180,0,-14.95185,5.106328,26.15087,WallCake_Tx,,,
Partition,0.5,10,8,0,180,0,4.049952,5.100328,26.34986,WallCake_Tx,,,
Partition,0.5,10,8.4,0,228.74,0,16.58815,5.106328,27.41087,WallCake_Tx,,,
Partition,0.5,10,8,0,228.7,0,26.74815,5.106328,16.95087,WallCake_Tx,,,
Partition,0.5,10,6,0,90,0,24.21815,5.106328,3.050866,WallCake_Tx,,,
Partition,0.5,10,8.27,0,90,0,25.54815,5.106328,-11.5,WallCake_Tx,,,
Partition,0.5,10,8,0,122.43,0,24.34815,5.106328,-19.94913,WallCake_Tx,,,
Partition,0.5,10,7.5,0,180,0,8.968152,5.100328,-26.31513,WallCake_Tx,,,
Partition,0.5,10,7.5,0,180,0,-6.031848,5.096328,-26.31913,WallCake_Tx,,,
Partition,0.5,10,8.6,0,210.8,0,-17.76685,5.096328,-26.38614,WallCake_Tx,,,
Wall,0.5,10,2.6,0,0,0,21.18,5.1,-16.88,WallCake_Tx,,,
Wall,0.5,10,8,0,0,0,21.18,5.1,-7.88,WallCake_Tx,,,
Wall,0.5,10,13,0,0,0,21.18,5.1,5.62,WallCake_Tx,,,
Wall,0.5,10,9,0,68,0,17.1,5.1,-19.6,WallCake_Tx,,,
Wall,0.5,10,10,0,90,0,4.218,5.1,-22.815,WallCake_Tx,,,
Wall,0.5,10,5,0,90,0,-13.28,5.0965,-22.815,WallCake_Tx,,,
Wall,0.5,10,7,0,90,0,-11.7,5.1,22.1,WallCake_Tx,,,
Wall,0.5,10,7.5,0,90,0,0.55,5.1,22.1,WallCake_Tx,,,
Wall,0.5,10,6,0,90,0,10.6,5.1,24.7,WallCake_Tx,,,
Wall,0.5,10,10.54,0,135,0,17.5,5.1,20.9,WallCake_Tx,,,
Wall,0.5,10,10.5,0,6.399997,0,-19.5,5.1,14.3,WallCake_Tx,,,
Wall,0.5,10,8,0,121.9,0,-2.92,4.65,-5.09,WallCake_Tx,,,
Wall,0.5,10,7.5,0,30.00001,0,-1.5973,4.65,-10.324,WallCake_Tx,,,
Wall,0.5,10,8,0,30.00001,0,-7.96,4.65,-6.35,WallCake_Tx,,,
Wall,0.5,10,5.5,0,120,0,-5.5124,4.65,-12.105,WallCake_Tx,,,
Wall,0.5,10,7,0,35.65303,0,1.1541,4.6,-10.576,WallCake_Tx,,,
