ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,
Floor,60,0.1,60,0,0,0,0,0,0,WallSponge_Tx
FrontWall,40,0.1,20,90,90,0,-29.5,10,0,WallCake_Tx
RightWall,40,0.1,20,90,180,0,-0.2,10,30,WallCake_Tx
BackWall,40,0.1,20,90,270,0,30,10,-0.3,WallCake_Tx
LeftWall,40,0.1,20,90,0,0,-0.2,10,-30,WallCake_Tx
Wall,0.5,10,20,0,90,0,0.25,4.7,-18.36,WallCake_Tx
Wall,0.5,10,22.5,0,0,0,17.43,4.7,0.07,WallCake_Tx
Wall,0.5,10,13,0,90,0,3.71,4.7,18.45,WallCake_Tx
Wall,0.5,10,13,0,0,0,-21.17,5.1,9.77,WallCake_Tx
Wall,0.5,10,9,0,0,0,-21.22,5.1,-12.94,WallCake_Tx
Wall,0.5,10,5,0,0,0,-21.173,5.1,-2.73,WallCake_Tx
Wall,0.5,10,22.5,0,0,0,-16.97,4.7,0.02,WallCake_Tx
Wall,0.5,10,5,0,90,0,-7.29,4.7,18.45,WallCake_Tx
Wall,0.5,10,18,0,90,0,0,4.7,0,WallCake_Tx
Wall,0.5,10,4,0,90,0,-14.41,4.7,0,WallCake_Tx
Wall,0.5,10,4,0,90,0,15.54,4.7,0,WallCake_Tx
Wall,0.5,10,5,0,90,0,6.86,4.7,-14.99,WallCake_Tx
Wall,0.5,10,3,0,0,0,14.76,4.7,-8.08,WallCake_Tx
Wall,0.5,10,3,0,0,0,4.61,4.7,-13.23,WallCake_Tx
Wall,0.5,10,5,0,90,0,12.52,4.7,-6.33,WallCake_Tx
Wall,0.5,10,10,0,90,0,-9.46,4.7,-3.09,WallCake_Tx
Wall,0.5,10,4,0,0,0,-4.21,4.7,-4.84,WallCake_Tx
Wall,0.5,10,9.5,0,0,0,-4.21,4.7,-13.59,WallCake_Tx
Partition,0.5,10,8.4,0,0,0,6.548152,5.096328,26.05087,WallCake_Tx
Partition,0.5,10,8,0,228.7,0,26.74815,5.106328,16.95087,WallCake_Tx
Partition,0.5,10,9,0,90,0,25.92815,5.096328,-3.629134,WallCake_Tx
Partition,0.5,10,8.3,0,90,0,25.54815,5.096328,-17.92913,WallCake_Tx
Partition,0.5,10,7.5,0,180,0,8.968152,5.096328,-26.31913,WallCake_Tx
Partition,0.5,10,7.5,0,180,0,-6.031848,5.096328,-26.31913,WallCake_Tx
Partition,0.5,10,8.6,0,210.8,0,-17.76185,5.096328,-26.38913,WallCake_Tx
Partition,0.5,10,9,0,90,0,-25.92185,5.096328,16.02087,WallCake_Tx
Partition,0.5,10,9,0,90,0,-25.42185,5.096328,-0.4791346,WallCake_Tx
Partition,0.5,10,6,0,90,0,-24.11985,5.096328,-17.33913,WallCake_Tx
Wall,0.5,10,2.6,0,0,0,21.18,5.1,-16.88,WallCake_Tx
Wall,0.5,10,8,0,0,0,21.18,5.1,-7.88,WallCake_Tx
Wall,0.5,10,14,0,0,0,21.18,5.1,6.12,WallCake_Tx
Wall,0.5,10,9,0,68,0,17.1,5.1,-19.6,WallCake_Tx
Wall,0.5,10,10,0,90,0,4.22,5.1,-22.82,WallCake_Tx
Wall,0.5,10,5,0,90,0,-13.28,5.1,-22.82,WallCake_Tx
Wall,0.5,10,7,0,90,0,-11.7,5.1,22.1,WallCake_Tx
Wall,0.5,10,7.5,0,90,0,0.55,5.1,22.1,WallCake_Tx
Wall,0.5,10,6,0,90,0,9.21,5.1,22.09,WallCake_Tx
Wall,0.5,10,10.54,0,135,0,15.76,5.1,18.44,WallCake_Tx
