ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,
Floor,60,0.1,60,0,0,0,0,0,0,WallSponge_Tx
Floor,40,0.1,20,90,90,0,-29.5,10,0,Beans_Tx
Floor,40,0.1,20,90,180,0,-0.2,10,30,Beans_Tx
Floor,40,0.1,20,90,270,0,30,10,-0.3,Beans_Tx
Floor,40,0.1,20,90,0,0,-0.2,10,-30,Beans_Tx
Wall,0.5,10,20,0,90,0,0.25,4.7,-18.36,Beans_Tx
Wall,0.5,10,22.5,0,0,0,17.43,4.7,0.07,Beans_Tx
Wall,0.5,10,13,0,90,0,3.71,4.7,18.45,Beans_Tx
Wall,0.5,10,13,0,0,0,-21.17,5.1,9.77,Beans_Tx
Wall,0.5,10,9,0,0,0,-21.22,5.1,-12.94,Beans_Tx
Wall,0.5,10,5,0,0,0,-21.173,5.1,-2.73,Beans_Tx
Wall,0.5,10,22.5,0,0,0,-16.97,4.7,0.02,Beans_Tx
Wall,0.5,10,5,0,90,0,-7.29,4.7,18.45,Beans_Tx
Partition,0.5,10,8.4,0,0,0,6.548152,5.096328,26.05087,Beans_Tx
Partition,0.5,10,6,0,90,0,24.36615,5.100328,-17.89603,Beans_Tx
Partition,0.5,10,7.5,0,180,0,8.968152,5.096328,-26.31913,Beans_Tx
Partition,0.5,10,7.5,0,180,0,-6.031848,5.096328,-26.31913,Beans_Tx
Partition,0.5,10,8.6,0,210.8,0,-17.76185,5.096328,-26.38913,Beans_Tx
Partition,0.5,10,9,0,90,0,-25.42185,5.096328,-0.4791346,Beans_Tx
Partition,0.5,10,8.4,0,0,0,-15.10385,5.100328,26.19087,Beans_Tx
Partition,0.5,10,9,0,90,0,25.92815,5.096328,12.85087,Beans_Tx
Partition,0.5,10,8.6,0,252.8,0,-25.15185,5.100328,-18.47273,Beans_Tx
Wall,0.5,10,9,0,68,0,17.1,5.1,-19.6,Beans_Tx
Wall,0.5,10,10,0,90,0,4.22,5.1,-22.82,Beans_Tx
Wall,0.5,10,5,0,90,0,-13.28,5.1,-22.82,Beans_Tx
Wall,0.5,10,7,0,90,0,-11.7,5.1,22.1,Beans_Tx
Wall,0.5,10,7.5,0,90,0,0.55,5.1,22.1,Beans_Tx
Wall,0.5,10,6,0,90,0,9.21,5.1,22.09,Beans_Tx
Wall,0.5,10,10.54,0,135,0,15.76,5.1,18.44,Beans_Tx
Wall,0.5,10,8.7,0,225.67,0,-18.14,5.1,19.13,Beans_Tx
Wall,0.5,10,5,0,90,0,23.93,5.1,-14.73,Beans_Tx
Wall,0.5,10,5,0,90,0,23.93,5.1,9.87,Beans_Tx
Wall,0.5,10,25,0,0,0,26.68,5.1,-2.38,Beans_Tx
Wall,0.5,10,25,0,0,0,21.18,5.1,-2.38,Beans_Tx
UpperWall,0.5,7.07,3.7,0,0,0,21.18,6.56,-16.33,Beans_Tx
UpperWall,0.5,7,3,0,0,0,21.18,6.6,11.62,Beans_Tx
UpperWall,0.5,7,2.5,0,135,0,20.37,6.6,13.83,Beans_Tx
UpperWall,0.5,7,2,0,270,0,5.3,6.6,22.1,Beans_Tx
UpperWall,0.5,7,5,0,270,0,-5.7,6.6,22.1,Beans_Tx
UpperWall,0.5,7.07,5,0,270,0,-8.28,6.56,-22.82,Beans_Tx
UpperWall,0.5,7,5,0,270,0,-3.28,6.6,-22.82,Beans_Tx
UpperWall,0.5,7.07,3.9,0,68,0,11.12,6.56,-22,Beans_Tx
UpperWall,0.5,7,3.5,0,0,0,-21.17,6.6,1.52,Beans_Tx
UpperWall,0.5,7,3.5,0,0,0,-21.22,6.6,-6.7,Beans_Tx
UpperWall,0.5,8,3,0,270,0,28.866,6.1003,-17.896,Beans_Tx
UpperWall,0.5,7,2,0,90,0,-3.79,6.2,18.45,Beans_Tx
UpperWall,0.5,10,5,0,225,0,-13.152,4.7,14.99,Beans_Tx
Corner,15,0.1,20,90,225,0,24.7,10,24.99,Beans_Tx
Corner,15,0.1,20,90,135,0,-24.6,10,25.39,Beans_Tx
Corner,15,0.1,20,90,315,0,24.6,10,-25.1,Beans_Tx
Corner,15,0.1,20,90,45,0,-24.6,10,-25.1,Beans_Tx
InnerCorner,0.5,10,10.5,0,225,0,13.79,4.7,-14.717,Beans_Tx
InnerCorner,0.5,10,2.5,0,225,0,-10.5,4.7,17.64,Beans_Tx
InnerCorner,0.5,10,10.5,0,134.65,0,13.77,4.7,14.83,Beans_Tx
InnerCorner,0.5,10,10.5,0,134.65,0,-13.3,4.7,-14.74,Beans_Tx
InnerCorner,0.5,10,3,0,225,0,-15.98,4.7,12.16,Beans_Tx
Pillar,2,10,2,0,0,0,10.96,5,10.87,Beans_Tx
Pillar,2,10,2,0,0,0,10.96,5,-10.87,Beans_Tx
Pillar,2,10,2,0,0,0,-10.96,4.97,10.87,Beans_Tx
Pillar,2,10,2,0,0,0,-10.96,4.97,-10.87,Beans_Tx
