ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,,weight,calorie
Plane,30,0.1,30,0,180,180,0,15,0,Beans_Tx,,
Plane,30,0.1,30,0,0,0,0,0,0,Beans_Tx,,
Plane,15,0.1,30,0,0,90,15,7.5,0,Beans_Tx,,
Plane,15,0.1,30,0,0,270,-15,7.5,0,Beans_Tx,,
Plane,15,0.1,30,0,90,90,0,7.5,-15,Beans_Tx,,
Plane,15,0.1,30,0,270,90,0,7.5,15,Beans_Tx,,
Plane,30,0.1,30,0,180,180,0,5.02,0,Beans_Tx,,
StageRotBox,4.75,1,14,0,90,90,0,2.4,-10,Beans_Tx,,
StageRotBox,4.75,1,14,0,0,90,10,2.4,0,Beans_Tx,,
StageRotBox,4.75,1,14,0,0,90,-10,2.4,0,Beans_Tx,,
StageRotBox,4.75,1,5,0,90,90,-4.5,2.4,10,Beans_Tx,,
StageRotBox,4.75,1,5,0,90,90,4.5,2.4,10,Beans_Tx,,
StageRotBox,4.75,1,9,0,45,90,-4.1716,2.4,-6.9645,Beans_Tx,,
StageRotBox,4.75,1,9,0,315,90,3.4645,2.4,-6.6716,Beans_Tx,,
StageRotBox,4.75,1.5,1.5,0,45,90,-0.25,2.4,-3.32,Beans_Tx,,
StageRotBox,4.75,1,11,0,45,90,-6.2574,2.4,-3.4645,Beans_Tx,,
StageRotBox,4.75,1,11,0,315,90,6.2574,2.4,-3.4645,Beans_Tx,,
StageRotBox,4.75,1,9.5,0,0,90,-2.5,2.4,4.75,Beans_Tx,,
StageRotBox,4.75,1,9.5,0,0,90,2.5,2.4,4.75,Beans_Tx,,
StageRotBox,4.75,1,5,0,45,90,-8.3787,2.4,8.4142,Beans_Tx,,
StageRotBox,4.75,1,5,0,315,90,8.3787,2.4,8.4142,Beans_Tx,,
StageRotBox,2,1,4.5,0,90,0,-12.7,0.5,-1.65,Beans_Tx,,
StageRotBox,2,2,4.5,0,90,0,-12.7,1,0.35,Beans_Tx,,
StageRotBox,2,3,4.5,0,90,0,-12.7,1.5,2.35,Beans_Tx,,
WallHide,1,2,1,0,225,0,1.54,0,-6.8,Beans_Tx,,
EatenObject,0.5,0.5,0.5,0,0,0,13,1,13,SweetCokie_Tx,50,30
